Free & Public DNS Servers (Updated December 2014
Source: http://pcsupport.about.com/od/tipstricks/a/free-public-dns-servers.htm
Downloaded: 2014-12-26 10:41 EST


Provider	Primary DNS Server	Secondary DNS Server
Level31	209.244.0.3	209.244.0.4
Google2	8.8.8.8	8.8.4.4
DNS.WATCH3	84.200.69.80	84.200.70.40
Comodo Secure DNS	8.26.56.26	8.20.247.20
OpenDNS Home4	208.67.222.222	208.67.220.220
DNS Advantage	156.154.70.1	156.154.71.1
Norton ConnectSafe5	199.85.126.10	199.85.127.10
GreenTeamDNS6	81.218.119.11	209.88.198.133
SafeDNS7	195.46.39.39	195.46.39.40
OpenNIC8	216.87.84.211	208.115.243.35
Public-Root9	199.5.157.131	208.71.35.137
SmartViper	208.76.50.50	208.76.51.51
Dyn	216.146.35.35	216.146.36.36
FreeDNS10	37.235.1.174	37.235.1.177
censurfridns.dk11	89.233.43.71	91.239.100.100
Hurricane Electric12	74.82.42.42	 
puntCAT13	109.69.8.51	 


